TM-ads,electronegativity,Magnetic_moment,radius_of_d-orbitals(A),coupling_matrix_element_squared,n_d,d-band(pure),Bandgap,VBM,CBM,Vacuum_level,E_affinity,Ion_potential,iCOHP_(*N2),iCOHP_(N*),Ef,endon-H
1,1.54,4,1.6,4.65,2,-1.8719,0.1656,-0.1683,-0.0027,4.304,-4.307,6.828,-1.750,-5.632,-0.077411,-0.802
1,1.33,4,1.75,10.9,2,-2.3744,0.136,-0.1084,0.0278,4.354,-4.326,6.634,-1.829,-6.100,-0.028892,-0.569
1,1.3,2,1.75,11.9,2,-3.6449,0.0051,-0.0315,-0.0264,4.323,-4.349,6.825,-1.451,-4.748,-0.030349,-1.67
1,1.63,5,1.53,3.15,3,-1.7767,0.0911,-0.0643,0.0267,3.501,-4.357,6.746,-1.606,-4.480,-0.882029,-0.769
1,1.5,3,1.7,9.05,3,-3.0327,0.2191,-0.1106,0.1085,3.529,-4.47,7.550,-2.141,-4.815,-1.050029,-0.479
1,1.6,3,1.64,7.73,4,-3.1109,0.247,-0.2981,-0.0508,4.319,-4.369,6.759,-2.108,-6.356,-0.173091,-0.69
1,2.36,0,1.62,7.27,4,-3.6078,0.4499,-0.223,0.2269,3.373,-4.432,7.864,-2.273,-4.994,-1.285202,-0.734
1,1.66,4,1.39,2.35,5,-1.6244,0.6172,-0.2154,0.4018,3.701,-4.366,6.767,-1.691,-4.595,-1.066916,-0.451
1,1.55,3,1.39,1.94,5,-2.4833,0.2203,-0.1113,0.1091,3.449,-4.385,7.434,-1.457,-4.623,-1.044391,-0.732
1,2.16,-2,1.54,6.62,5,-2.6206,0.1742,-0.0958,0.0785,3.494,-4.604,7.092,-1.975,-5.169,-1.188467,-0.944
1,1.9,1,1.51,6.04,5,-2.6704,0.2365,-0.6395,-0.403,4.247,-4.65,7.834,-2.256,-5.068,-0.519369,-0.846
1,1.83,2,1.32,1.59,6,-2.0151,0.617,-0.2284,0.3886,3.432,-4.353,7.902,-1.792,-3.976,-1.309772,-0.799
1,2.2,2,1.44,5.13,6,-2.6741,0.4488,-0.7647,-0.3159,4.257,-4.573,8.438,-2.143,-4.789,-0.547706,-0.945
1,1.88,-1,1.26,1.34,7,-1.8419,0.166,-0.6484,-0.4826,4.204,-4.687,7.881,-1.687,-3.254,-0.567514,-1.255
1,2.2,0,1.46,3.87,7,-2.441,0.4,-0.8013,-0.4016,4.248,-4.65,7.361,-1.940,-4.919,-0.601481,-0.775
1,2.2,-1,1.41,4.45,7,-2.7139,0.2405,-0.1274,0.1131,3.423,-4.885,8.967,-2.091,-4.210,-1.575791,-0.422
1,1.91,0,1.24,1.16,8,-1.3462,0.952,-1.0514,-0.099,4.206,-4.305,7.640,-1.559,-2.212,-0.82591,-1.501
1,2.28,-1,1.42,3.32,8,-2.3254,0.2176,-0.1164,0.1012,3.442,-4.911,7.459,-1.688,-3.853,-1.570028,-0.566
1,2.28,0,1.36,3.9,9,-2.5304,1.002,-1.0523,-0.05,4.337,-4.387,8.959,-1.837,-3.480,-0.824531,-0.719
1,1.9,0.849,1.32,1,10,-3.5492,0.005,-0.081,-0.0764,4.222,-4.299,7.726,-1.172,-1.557,-0.079461,-0.327
1,2.2,0,1.39,2.78,10,-1.7955,1.151,-1.2519,-0.1011,4.214,-4.315,8.337,-1.424,-2.331,-1.025615,-0.48
1,1.93,0.8904,1.45,2.26,10,-3.9624,0.009,-0.151,-0.1417,4.165,-4.306,7.576,-0.871,-1.440,-0.148826,0.279
2,1.54,4,1.6,4.65,2,-1.6968,0.875,-1.0778,-0.2032,4.23,-4.433,6.828,-1.471,-3.101,-0.8436,-0.6346
2,1.33,4,1.75,10.9,2,-1.9515,0.897,-0.9959,-0.0984,4.253,-4.352,6.634,-1.416,-3.647,-0.749,-0.7267
2,1.3,2,1.75,11.9,2,-2.0704,0.941,-1.0461,-0.1055,4.232,-4.338,6.825,-1.636,-3.334,-0.8106,-0.5018
2,1.63,5,1.53,3.15,3,-1.8304,0.492,-0.8875,-0.3956,4.151,-4.547,6.746,-1.389,-3.436,-0.6684,-0.426
2,1.5,3,1.7,9.05,3,-2.8926,0.2,-0.4379,-0.2381,4.186,-4.424,7.550,-1.932,-3.919,-0.3366,0.04
2,1.6,3,1.64,7.73,4,-2.5133,0.401,-0.5883,-0.1878,4.243,-4.43,6.759,-2.009,-5.713,-0.3859,-0.1049
2,2.36,0,1.62,7.27,4,-3.113,0.1,-0.4127,-0.3131,4.197,-4.51,7.864,-2.284,-4.982,-0.3644,-0.179
2,1.66,4,1.39,2.35,5,-1.295,0.043,-0.6421,-0.5991,4.158,-4.757,6.767,-1.600,-4.454,-0.6169,-0.856
